Topic,Terms,Interpretation,Description
1,"группа
новость
сообщество
мочь
информация
вопрос
пост
друг
страница
фото
правило
сообщение
паблик
ссылка
реклама
видео
участник
администрация
фотография
стена
тема
запись
комментарий
сайт
подписчик
бан
публикация
обсуждение
администратор
город",Правила сообществ в описании,
2,"компания
бизнес
работа
услуга
сайт
клиент
проект
год
интернет
помощь
деньги
система
россия
сеть
решение
рынок
организация
опыт
сервис
область
вопрос
время
специалист
агентство
партнер
сфера
рф
карта
консультация
продвижение",Бизнес,
3,"человек
жизнь
мир
история
мочь
друг
любовь
время
душа
женщина
книга
слово
день
дело
путь
сила
мысль
образ
семья
сердце
цитата
мужчина
отношение
место
мечта
страна
счастие
факт
момент
цель","Общая тематика связанная с жизнью, ролью человека в мире, отношениями между людьми",
4,"магазин
заказ
доставка
товар
цена
одежда
россия
интернет
скидка
продукция
качество
мочь
ассортимент
руб
наличие
день
оплата
рубль
подарок
почта
аксессуар
производитель
цветок
покупка
размер
выбор
обувь
косметика
продукт
вещь",Магазины,
5,"ребенок
школа
развитие
центр
обучение
занятие
язык
год
программа
работа
здоровье
курс
образование
цель
помощь
проект
опыт
практика
подготовка
знание
организация
направление
курсы
уровень
родитель
студент
класс
фитнес
деятельность
тело","Группы связанные с обучением и дополнительными занятиями, в частности для детей",
6,"год
музыка
россия
песня
группа
г
проект
фестиваль
конкурс
книга
александр
рок
автор
культура
страна
творчество
имя
музыкант
концерт
город
стих
искусство
москва
сергей
гитара
сентябрь
коллектив
радио
театр
литература","Искусство, особенно музыкальное",
7,"ремонт
работа
мебель
услуга
дом
волос
маникюр
мастер
красота
оборудование
салон
материал
наращивание
установка
макияж
цена
ресница
телефон
массаж
техника
вид
бровь
квартира
год
ноготь
спб
замена
строительство
монтаж
окно","Услуги в сфере красоты и ремонта (дома, техники, мебели и тд)",
8,"день
мероприятие
праздник
фильм
фотограф
свадьба
рождение
съемка
шоу
ребенок
клуб
встреча
танец
мама
кино
год
сериал
фотосессия
друг
билет
вечеринка
вход
событие
место
вечер
программа
время
гость
ночь
проведение","Фотосессии, мероприятия",
9,"город
отдых
район
место
дом
тур
путешествие
территория
крым
море
парк
центр
номер
отель
область
экскурсия
житель
комплекс
год
музей
поездка
вода
рыбалка
край
поселок
дорога
москва
туризм
км
сад","Путешествия, туризм, отдых",
10,"объявление
работа
продажа
вакансия
авто
автомобиль
квартира
услуга
город
недвижимость
аренда
вещь
барахолка
цена
покупка
москва
размещение
товар
запчасть
сургут
поиск
уфа
область
обмен
г
казань
краснодар
доска
телефон
пермь",Объявления,
11,"г
ул
адрес
тело
р
телефон
м
этаж
рецепт
работа
кухня
кафе
час
ресторан
чай
блюдо
режим
кофе
пн
день
еда
дом
время
бар
центр
пт
вс
вкус
проспект
зал
",Еда,
12,"работа
мастер
дизайн
модель
студия
подарок
стиль
изделие
класс
фотография
интерьер
мастерская
идея
украшение
изготовление
дизайнер
творчество
оформление
создание
материал
фото
картина
мода
художник
печать
мочь
заказ
дерево
шар
арт","Изготовление вещей, подарки, украшения, мода",
13,"петербург
санкт
игра
клуб
спб
спорт
животное
команда
футбол
собака
прогноз
любитель
питер
кошка
россия
игрок
матч
минск
чемпионат
лига
мир
турнир
кот
чемпион
соревнование
место
москва
питомец
кубок
невский",Мероприятия в городе Санкт-Петребург,
